field_name,country,field_type,total_wells,prod_wells,inj_wells,avg_depth_m,avg_temp_C,avg_pressure_MPa,avg_porosity,avg_permeability_mD,avg_flow_rate_kg_s,total_power_MWe
Ahuachapan,El Salvador,Liquid-Dominated,220,150,70,1832.47,162.384,15.732,0.086,49.863,13.827,391.269
Akiira,Kenya,Liquid-Dominated,189,129,60,2813.232,221.94,24.125,0.075,43.024,15.986,528.142
Alasehir,Turkey,Liquid-Dominated,263,179,84,1663.654,155.103,14.446,0.087,51.265,13.737,442.273
Aluto-Langano,Ethiopia,Liquid-Dominated,60,41,19,2210.423,198.196,19.146,0.075,46.144,16.734,149.909
Baringo-Silali,Kenya,EGS,85,51,34,3149.42,183.968,44.015,0.048,11.818,10.028,163.008
Beowawe,USA,Liquid-Dominated,90,61,29,1570.451,148.419,13.773,0.084,42.217,12.652,137.105
Berlin,El Salvador,Liquid-Dominated,236,160,76,2031.87,181.028,17.583,0.086,51.963,14.033,484.322
Bouillante,Guadeloupe,Liquid-Dominated,88,60,28,2033.873,181.571,17.294,0.085,50.582,13.19,170.008
Brady Hot Springs,USA,Liquid-Dominated,115,78,37,1497.118,136.623,13.065,0.087,32.845,12.376,145.358
Cerro Pabellón,Chile,Liquid-Dominated,157,107,50,2169.568,189.662,18.432,0.088,57.31,12.949,325.002
Cerro Prieto,Mexico,Liquid-Dominated,606,412,194,2407.267,213.655,20.938,0.105,72.942,15.731,1653.552
Cooper Basin,Australia,EGS,23,14,9,4057.057,208.297,45.829,0.02,5.765,9.706,45.548
Corbetti,Ethiopia,EGS,88,53,35,2889.07,184.105,42.403,0.036,7.193,9.838,168.598
Coso,USA,Liquid-Dominated,350,238,112,1920.782,179.571,16.439,0.085,48.571,14.604,726.636
Darajat,Indonesia,Vapor-Dominated,371,267,104,2037.445,207.109,0.881,0.038,12.383,15.8,899.274
Desert Peak,USA,EGS,139,83,56,2912.537,170.835,42.562,0.038,8.538,8.757,215.582
Dieng,Indonesia,Vapor-Dominated,175,126,49,1570.16,170.633,0.867,0.048,9.705,14.009,301.239
Dixie Valley,USA,Liquid-Dominated,178,121,57,2561.604,205.014,22.009,0.066,29.343,15.194,433.276
Djibouti,Djibouti,Liquid-Dominated,51,35,16,2303.798,199.58,19.746,0.078,44.841,14.106,115.884
El Tatio,Chile,Liquid-Dominated,71,48,23,2063.17,180.415,17.855,0.087,52.634,15.34,151.393
Germencik Omerbeyli,Turkey,Liquid-Dominated,327,222,105,1823.81,162.684,15.622,0.086,53.144,11.918,530.798
Gunung Salak,Indonesia,Liquid-Dominated,439,299,140,2202.591,195.785,18.847,0.086,55.993,14.567,1004.761
Gure Bigadic,Turkey,Liquid-Dominated,111,75,36,1388.311,130.959,11.973,0.091,41.111,11.955,138.523
Hatchobaru,Japan,Liquid-Dominated,239,163,76,2186.982,196.253,18.4,0.087,56.977,15.098,566.874
Hellisheidi,Iceland,Liquid-Dominated,393,267,126,2405.068,204.176,20.569,0.094,64.121,15.051,970.032
Insheim,Germany,EGS,51,31,20,3486.359,170.105,45.263,0.029,6.111,8.923,76.2
Kakkonda,Japan,Liquid-Dominated,202,137,65,2775.181,218.003,23.709,0.076,41.669,15.119,543.349
Kamojang,Indonesia,Vapor-Dominated,346,249,97,1477.601,167.437,0.872,0.038,11.576,14.533,610.296
Kawerau,New Zealand,Liquid-Dominated,226,154,72,2189.207,198.276,18.963,0.095,62.22,16.056,555.355
Kizildere,Turkey,Liquid-Dominated,220,150,70,2063.679,179.181,17.824,0.097,62.301,13.209,428.824
Krafla,Iceland,Liquid-Dominated,175,119,56,2598.325,223.445,22.347,0.077,52.417,14.903,481.417
Lahendong,Indonesia,Liquid-Dominated,202,137,65,1833.852,170.859,15.811,0.086,47.913,13.642,377.262
Landau,Germany,EGS,39,23,16,3010.431,156.0,42.729,0.029,4.51,8.73,58.346
Larderello,Italy,Vapor-Dominated,551,397,154,2774.924,247.798,0.882,0.038,10.9,15.662,1595.844
Las Pailas,Costa Rica,Liquid-Dominated,134,91,43,1837.064,167.277,16.116,0.085,46.679,13.609,242.494
Las Tres Virgenes,Mexico,Liquid-Dominated,71,48,23,2207.011,196.609,19.19,0.087,47.793,13.824,158.277
Los Azufres,Mexico,Vapor-Dominated,339,244,95,2060.755,208.028,0.877,0.048,12.152,15.361,795.323
