well_id,field_name,country,field_type,latitude,longitude,well_type,well_depth_m,temperature_C,pressure_MPa,porosity,permeability_mD,flow_rate_kg_s,power_generated_MWe
THEGEYSE_W0001,The Geysers,USA,Vapor-Dominated,38.75653,-122.71287,Production,2304.0,270.37,1.0,0.05328,26.8077,34.548,4.4255
THEGEYSE_W0002,The Geysers,USA,Vapor-Dominated,38.7346,-122.81062,Production,2127.5,196.58,1.0,0.05953,8.2815,18.698,1.7031
THEGEYSE_W0003,The Geysers,USA,Vapor-Dominated,38.74997,-122.75458,Production,2366.9,281.04,1.0,0.05136,9.5765,21.581,2.8799
THEGEYSE_W0004,The Geysers,USA,Vapor-Dominated,38.79044,-122.83798,Production,2543.9,250.89,1.0,0.04678,12.3334,32.01,3.7875
THEGEYSE_W0005,The Geysers,USA,Vapor-Dominated,38.75697,-122.68714,Production,2435.2,239.47,1.0,0.04064,2.4431,23.075,2.598
THEGEYSE_W0006,The Geysers,USA,Vapor-Dominated,38.73804,-122.75546,Production,2226.0,242.45,1.0,0.05944,32.3551,17.512,1.998
THEGEYSE_W0007,The Geysers,USA,Vapor-Dominated,38.7764,-122.68982,Production,2728.3,281.81,1.0,0.05799,11.108,32.421,4.339
THEGEYSE_W0008,The Geysers,USA,Vapor-Dominated,38.78435,-122.75495,Production,2046.9,251.47,1.0,0.08318,34.1429,28.235,3.349
THEGEYSE_W0009,The Geysers,USA,Vapor-Dominated,38.73958,-122.76509,Production,2254.9,243.71,1.0,0.04406,12.6677,17.113,1.9632
THEGEYSE_W0010,The Geysers,USA,Vapor-Dominated,38.7449,-122.75638,Production,2842.1,310.66,1.0,0.05881,22.1039,41.834,6.204
THEGEYSE_W0011,The Geysers,USA,Vapor-Dominated,38.77194,-122.7198,Production,2176.3,219.56,1.0,0.04823,9.0212,24.314,2.4947
THEGEYSE_W0012,The Geysers,USA,Vapor-Dominated,38.78301,-122.61684,Production,2414.1,265.42,1.0,0.04023,3.377,14.34,1.8012
THEGEYSE_W0013,The Geysers,USA,Vapor-Dominated,38.83714,-122.7024,Production,1910.8,207.0,1.0,0.05697,17.9362,22.207,2.1387
THEGEYSE_W0014,The Geysers,USA,Vapor-Dominated,38.73047,-122.76831,Production,2185.8,258.27,1.0,0.04379,8.3311,36.495,4.4533
THEGEYSE_W0015,The Geysers,USA,Vapor-Dominated,38.73403,-122.6625,Production,1877.5,222.37,1.0,0.06002,10.1803,20.429,2.125
THEGEYSE_W0016,The Geysers,USA,Vapor-Dominated,38.69963,-122.73077,Production,2858.4,251.52,1.0,0.05573,23.0632,30.338,3.5991
THEGEYSE_W0017,The Geysers,USA,Vapor-Dominated,38.79252,-122.72268,Production,2003.4,242.34,1.0,0.06487,16.0726,38.699,4.4129
THEGEYSE_W0018,The Geysers,USA,Vapor-Dominated,38.72043,-122.70717,Production,2509.2,228.48,1.0,0.0507,6.0375,31.541,3.3774
THEGEYSE_W0019,The Geysers,USA,Vapor-Dominated,38.76773,-122.77769,Production,2567.9,247.9,1.0,0.05248,24.5203,30.572,3.5715
THEGEYSE_W0020,The Geysers,USA,Vapor-Dominated,38.76677,-122.60399,Production,2211.8,233.46,1.0,0.06239,33.0524,29.215,3.2013
THEGEYSE_W0021,The Geysers,USA,Vapor-Dominated,38.73766,-122.81574,Production,2142.4,245.51,1.0,0.05094,19.83,43.675,5.0499
THEGEYSE_W0022,The Geysers,USA,Vapor-Dominated,38.78291,-122.79715,Production,2712.4,261.0,1.0,0.05317,41.8401,19.386,2.3922
THEGEYSE_W0023,The Geysers,USA,Vapor-Dominated,38.80575,-122.54736,Production,2748.6,291.5,1.0,0.05536,11.4643,37.154,5.1528
THEGEYSE_W0024,The Geysers,USA,Vapor-Dominated,38.75573,-122.73591,Production,2650.7,284.44,1.0,0.03762,2.0243,18.413,2.4886
THEGEYSE_W0025,The Geysers,USA,Vapor-Dominated,38.74423,-122.70602,Production,2374.1,248.54,1.0,0.04217,5.7927,28.691,3.3611
THEGEYSE_W0026,The Geysers,USA,Vapor-Dominated,38.67874,-122.73068,Production,2493.9,239.5,1.0,0.06152,37.6586,45.918,5.1707
THEGEYSE_W0027,The Geysers,USA,Vapor-Dominated,38.86827,-122.71975,Production,2647.4,247.31,1.0,0.04501,7.1599,22.951,2.6744
THEGEYSE_W0028,The Geysers,USA,Vapor-Dominated,38.84335,-122.77538,Production,2523.9,252.41,1.0,0.03707,14.3856,23.305,2.7753
THEGEYSE_W0029,The Geysers,USA,Vapor-Dominated,38.76737,-122.80239,Production,1744.1,181.4,1.0,0.05507,9.2621,25.918,2.1632
THEGEYSE_W0030,The Geysers,USA,Vapor-Dominated,38.73092,-122.71689,Production,2322.8,255.03,1.0,0.05114,52.6663,39.964,4.8116
THEGEYSE_W0031,The Geysers,USA,Vapor-Dominated,38.88665,-122.8376,Production,1958.5,228.07,1.0,0.03646,9.7485,30.695,3.2805
THEGEYSE_W0032,The Geysers,USA,Vapor-Dominated,38.75053,-122.69752,Production,2870.2,277.93,1.0,0.0542,11.6725,13.088,1.7261
THEGEYSE_W0033,The Geysers,USA,Vapor-Dominated,38.81736,-122.70948,Production,2044.7,242.17,1.0,0.04717,16.9544,21.212,2.4171
THEGEYSE_W0034,The Geysers,USA,Vapor-Dominated,38.84527,-122.73895,Production,3103.7,288.56,1.0,0.05835,14.9087,35.672,4.8949
THEGEYSE_W0035,The Geysers,USA,Vapor-Dominated,38.7297,-122.80071,Production,2259.7,264.67,1.0,0.06833,60.3479,30.321,3.7972
THEGEYSE_W0036,The Geysers,USA,Vapor-Dominated,38.73873,-122.75607,Production,2534.1,278.41,1.0,0.03012,7.2788,39.153,5.1731
THEGEYSE_W0037,The Geysers,USA,Vapor-Dominated,38.7076,-122.81037,Production,2079.9,243.71,1.0,0.05759,31.4563,17.92,2.0558
THEGEYSE_W0038,The Geysers,USA,Vapor-Dominated,38.77905,-122.79013,Production,2666.5,305.41,1.0,0.02953,6.0794,41.033,5.9773
THEGEYSE_W0039,The Geysers,USA,Vapor-Dominated,38.81451,-122.76006,Production,1716.5,205.87,1.0,0.0599,22.2258,25.311,2.4233
THEGEYSE_W0040,The Geysers,USA,Vapor-Dominated,38.85256,-122.69204,Production,2172.0,259.75,1.0,0.05609,17.7256,29.657,3.6409
THEGEYSE_W0041,The Geysers,USA,Vapor-Dominated,38.67381,-122.76629,Production,2365.7,258.52,1.0,0.0372,7.7004,21.556,2.633
THEGEYSE_W0042,The Geysers,USA,Vapor-Dominated,38.71399,-122.64843,Production,2463.4,221.07,1.0,0.05464,28.3029,20.696,2.1392
THEGEYSE_W0043,The Geysers,USA,Vapor-Dominated,38.77427,-122.67811,Production,2848.9,307.66,1.0,0.04907,5.8596,27.48,4.034
THEGEYSE_W0044,The Geysers,USA,Vapor-Dominated,38.7575,-122.70886,Production,2335.5,229.81,1.0,0.06416,31.5196,41.919,4.5168
THEGEYSE_W0045,The Geysers,USA,Vapor-Dominated,38.79662,-122.77742,Production,2362.7,221.66,1.0,0.05984,52.9648,26.773,2.7753
THEGEYSE_W0046,The Geysers,USA,Vapor-Dominated,38.81227,-122.67157,Production,2415.3,272.97,1.0,0.05912,22.339,27.772,3.5936
THEGEYSE_W0047,The Geysers,USA,Vapor-Dominated,38.85512,-122.7363,Production,2560.9,228.72,1.0,0.05669,16.3364,25.107,2.6916
THEGEYSE_W0048,The Geysers,USA,Vapor-Dominated,38.67663,-122.74446,Production,2321.3,258.39,1.0,0.0481,3.9184,44.813,5.4711
THEGEYSE_W0049,The Geysers,USA,Vapor-Dominated,38.73071,-122.7148,Production,2502.3,230.14,1.0,0.05591,14.2682,27.608,2.9793
THEGEYSE_W0050,The Geysers,USA,Vapor-Dominated,38.87824,-122.73824,Production,2139.2,198.12,1.0,0.03918,5.0317,24.107,2.2143
THEGEYSE_W0051,The Geysers,USA,Vapor-Dominated,38.76625,-122.8551,Production,1872.4,237.47,1.0,0.04759,14.5785,21.943,2.4486
THEGEYSE_W0052,The Geysers,USA,Vapor-Dominated,38.7736,-122.78778,Production,2490.3,254.14,1.0,0.04954,20.8447,29.829,3.5781
THEGEYSE_W0053,The Geysers,USA,Vapor-Dominated,38.86436,-122.69592,Production,2424.6,232.94,1.0,0.04025,4.1425,24.237,2.6496
THEGEYSE_W0054,The Geysers,USA,Vapor-Dominated,38.73622,-122.80914,Production,2641.1,278.92,1.0,0.04411,21.0215,20.401,2.7007
THEGEYSE_W0055,The Geysers,USA,Vapor-Dominated,38.74747,-122.76436,Production,2512.3,263.74,1.0,0.04585,7.9492,20.56,2.5653
THEGEYSE_W0056,The Geysers,USA,Vapor-Dominated,38.75116,-122.70223,Production,2132.8,202.27,1.0,0.05565,15.9117,35.835,3.3661
THEGEYSE_W0057,The Geysers,USA,Vapor-Dominated,38.74184,-122.83024,Production,2114.8,259.04,1.0,0.06068,13.8902,21.768,2.6646
THEGEYSE_W0058,The Geysers,USA,Vapor-Dominated,38.74741,-122.73763,Production,2405.7,222.11,1.0,0.0397,6.9041,27.149,2.8204
THEGEYSE_W0059,The Geysers,USA,Vapor-Dominated,38.65642,-122.77984,Production,2273.5,211.92,1.0,0.06097,35.3802,30.571,3.0197
THEGEYSE_W0060,The Geysers,USA,Vapor-Dominated,38.79688,-122.76059,Production,2283.5,276.05,1.0,0.05532,42.4279,39.575,5.182
THEGEYSE_W0061,The Geysers,USA,Vapor-Dominated,38.84006,-122.7604,Production,2149.3,214.19,1.0,0.03213,3.8102,35.934,3.5904
THEGEYSE_W0062,The Geysers,USA,Vapor-Dominated,38.82147,-122.85056,Production,2354.1,246.84,1.0,0.03615,4.4467,38.204,4.4427
